Purchase_ID,Vendor_Name,Category,Sub_Category,Spend_Amount_INR,Purchase_Date,Region,Payment_Terms,Delivery_Time_Days,Quality_Score,Vendor_Score
PO-10000,Moran Inc,Software,Licensing,1162003.28,2024-03-22,North,Net 45,53,7,81
PO-10001,"Downs, Rivera and Mata",Hardware,Storage Devices,1984191.92,2025-08-28,North,Net 45,34,6,61
PO-10002,Cline Ltd,Software,CRM Tools,497397.36,2025-06-22,International,On Delivery,9,6,80
PO-10003,"Lynch, Snyder and Wiley",Hardware,Servers,1894006.03,2024-12-08,West,On Delivery,36,5,94
PO-10004,Galloway-Hill,Hardware,Servers,466720.48,2023-03-03,International,Net 45,42,6,86
PO-10005,Castro-Mahoney,Cloud,AWS,1907787.85,2023-11-23,North,Advance,51,10,90
PO-10006,Elliott-Baker,Cloud,Google Cloud,625830.18,2025-02-23,West,Advance,35,5,75
PO-10007,Holloway LLC,Consultancy,Audit Services,1746603.19,2024-10-19,East,Net 45,50,10,81
PO-10008,Delgado-Webb,Cloud,AWS,1627620.58,2025-03-16,International,Net 30,53,6,91
PO-10009,Petersen-Dickerson,Maintenance,Repair,1825182.61,2024-07-08,North,Net 45,6,7,80
PO-10010,Ramirez-Coleman,Software,Cybersecurity,1295500.57,2024-07-15,International,Net 30,8,7,67
PO-10011,Powell-Atkinson,Software,Licensing,168541.87,2024-05-30,North,On Delivery,57,7,73
PO-10012,Calhoun-Vaughn,Cloud,Google Cloud,1874708.22,2024-03-03,International,Advance,13,9,96
PO-10013,Henry Group,Software,Licensing,60530.23,2023-02-16,West,On Delivery,19,9,62
PO-10014,Wheeler-Aguirre,Hardware,Storage Devices,878217.39,2024-11-12,International,Net 30,20,7,98
PO-10015,"Knight, Parks and Miller",Consultancy,IT Strategy,941370.14,2024-11-06,East,On Delivery,11,10,88
PO-10016,Chavez-Hughes,Maintenance,Training,804054.35,2025-09-23,North,Net 45,49,7,67
PO-10017,Wilkerson Group,Software,CRM Tools,322712.48,2024-10-21,North,Net 45,46,9,92
PO-10018,"Jones, Cobb and Coleman",Maintenance,Repair,1523355.24,2023-09-11,International,Net 30,28,5,62
PO-10019,"Lopez, Warren and Moore",Cloud,AWS,1695920.36,2022-11-03,International,Net 30,44,5,68
PO-10020,Frank-Sanchez,Software,ERP Systems,606655.15,2025-10-09,North,On Delivery,32,9,86
PO-10021,"Gray, Reid and Bowers",Hardware,Storage Devices,1883980.08,2025-08-15,North,Net 45,8,10,74
PO-10022,"Boone, Brooks and Harrison",Software,CRM Tools,1233765.71,2023-07-31,East,Net 45,43,8,84
PO-10023,Alvarez-Schultz,Consultancy,Digital Transformation,1226469.56,2025-03-18,East,Advance,6,8,91
PO-10024,Moore Group,Software,ERP Systems,931330.9,2023-07-23,East,Net 30,7,7,82
PO-10025,Smith Group,Software,Cybersecurity,768551.07,2023-01-20,South,Advance,47,6,78
PO-10026,Wright-Miller,Hardware,Servers,1838818.51,2024-01-21,East,Net 30,13,8,69
PO-10027,Fisher PLC,Cloud,Google Cloud,1150224.78,2025-10-25,South,Net 45,24,9,98
PO-10028,"Ortega, Brown and Newman",Cloud,Private Cloud,1548385.2,2024-08-17,International,On Delivery,57,10,86
PO-10029,Weber and Sons,Maintenance,Repair,859926.88,2025-09-03,East,Net 45,31,7,93
PO-10030,"Walker, Barton and Patel",Cloud,Google Cloud,1977613.39,2023-12-10,North,Net 30,56,7,88
PO-10031,Wilson LLC,Consultancy,Process Automation,737464.59,2024-02-04,North,Advance,34,7,63
PO-10032,"Freeman, Santiago and Gross",Software,SaaS Subscriptions,644306.73,2024-11-09,South,Net 30,44,7,94
PO-10033,White and Sons,Hardware,Laptops,1827679.64,2024-08-27,South,Net 45,28,7,90
PO-10034,"Lee, Morales and Franco",Hardware,Storage Devices,104236.16,2024-12-13,South,Advance,56,10,89
PO-10035,Jones Group,Consultancy,IT Strategy,1519389.73,2024-03-23,West,Net 30,24,5,82
PO-10036,"Williamson, Bishop and Hubbard",Software,ERP Systems,286432.41,2023-07-02,North,Net 30,59,10,62
PO-10037,"Armstrong, Faulkner and Walker",Consultancy,Process Automation,1029266.0,2024-07-10,International,On Delivery,56,5,99
PO-10038,Bruce PLC,Software,Licensing,589277.89,2024-06-26,East,Net 45,32,6,79
PO-10039,Cooper-Rose,Cloud,Private Cloud,1985071.88,2024-01-09,West,Net 30,31,8,78
PO-10040,Morgan PLC,Software,SaaS Subscriptions,878618.5,2025-09-25,East,Net 30,42,5,98
PO-10041,"Zavala, Hayes and Davis",Hardware,Laptops,277112.27,2024-10-06,West,Advance,11,6,70
PO-10042,Weber Ltd,Consultancy,Process Automation,1324094.79,2022-11-06,North,On Delivery,47,7,79
PO-10043,"Coleman, Brown and Chambers",Hardware,Servers,1485671.74,2025-07-23,South,Net 45,42,9,96
PO-10044,Johnson Group,Cloud,AWS,216518.46,2024-04-25,North,On Delivery,4,10,93
PO-10045,Sanford Inc,Cloud,Azure,1878218.22,2023-09-28,East,Net 30,51,7,85
PO-10046,"Rodriguez, Chung and Reeves",Cloud,AWS,1306856.35,2025-01-05,South,On Delivery,27,7,64
PO-10047,Rodriguez and Sons,Cloud,Google Cloud,279838.47,2024-02-03,International,On Delivery,37,10,98
PO-10048,Ellis-Russo,Cloud,Azure,1546872.17,2025-03-07,South,Advance,57,8,73
PO-10049,Krueger Ltd,Hardware,Servers,857059.69,2025-10-16,East,Net 30,53,10,94
PO-10050,"Clark, Gutierrez and Johnson",Software,Cybersecurity,373032.17,2024-04-19,East,On Delivery,20,7,71
PO-10051,Johnson-Hardin,Hardware,Laptops,1914250.85,2024-01-29,West,Advance,50,9,79
PO-10052,"Moore, Waters and Logan",Consultancy,Process Automation,1771521.38,2023-08-06,West,On Delivery,54,10,99
PO-10053,"Singh, Horton and Peters",Software,ERP Systems,1080196.77,2025-08-13,North,On Delivery,52,5,97
PO-10054,Murray PLC,Hardware,Networking,1668644.16,2023-09-30,South,Advance,49,7,97
PO-10055,Fernandez-Thomas,Maintenance,System Upgrades,1022984.13,2025-08-04,South,Advance,18,5,67
PO-10056,"Colon, Duke and Boyer",Software,Cybersecurity,289169.53,2025-06-11,South,Net 45,57,7,70
PO-10057,"Ross, Sherman and Williams",Consultancy,Process Automation,1853089.47,2025-01-03,South,Net 30,20,7,62
PO-10058,"Leon, Wilson and Diaz",Cloud,Google Cloud,985860.29,2022-12-11,East,On Delivery,20,7,61
PO-10059,Harper-Bradshaw,Software,ERP Systems,1689169.51,2024-05-04,East,On Delivery,58,5,73
PO-10060,Richards-Chang,Maintenance,Support Services,1948872.12,2023-01-30,International,Advance,43,5,83
PO-10061,"Winters, Gregory and Webster",Maintenance,Repair,1959904.88,2023-05-05,South,Net 30,48,6,89
PO-10062,"Edwards, Lambert and Boyd",Software,Cybersecurity,649590.23,2025-03-30,South,On Delivery,36,6,92
PO-10063,"Scott, Hudson and Norman",Hardware,Networking,704655.58,2025-08-12,South,Net 45,18,5,96
PO-10064,"Higgins, Mosley and Turner",Consultancy,Digital Transformation,713419.82,2025-05-03,South,Advance,16,10,95
PO-10065,Garner LLC,Maintenance,Repair,1124068.33,2024-09-12,North,On Delivery,21,9,83
PO-10066,"Kennedy, Clark and Smith",Consultancy,Process Automation,1560039.36,2025-08-20,North,On Delivery,20,10,82
PO-10067,Dunlap Inc,Software,Cybersecurity,1658195.54,2023-04-22,International,Net 30,13,8,79
PO-10068,"Smith, Morgan and Graham",Maintenance,Repair,1584688.9,2025-09-12,West,Advance,8,10,69
PO-10069,"Gomez, Barker and Smith",Maintenance,Training,1743873.29,2023-10-14,International,Net 45,42,7,72
PO-10070,Wise-Wilkerson,Maintenance,Training,1133750.42,2024-02-23,International,Net 45,50,7,81
PO-10071,Waters-Wilson,Hardware,Servers,975772.61,2023-12-27,South,On Delivery,5,8,78
PO-10072,"Foster, Moreno and Cunningham",Cloud,Private Cloud,1237155.15,2024-08-02,West,Net 45,25,10,69
PO-10073,Weaver-Salas,Consultancy,Audit Services,1479440.1,2025-01-08,International,Net 45,50,6,79
PO-10074,Kelley Ltd,Software,Licensing,433581.78,2024-06-30,South,Net 30,25,7,71
PO-10075,Wilson-Lane,Maintenance,Support Services,1747926.32,2023-12-12,North,Net 45,60,9,60
PO-10076,Shepard Group,Cloud,Azure,1937690.1,2024-06-04,North,Net 45,19,7,62
PO-10077,"Martinez, Campbell and Terry",Consultancy,IT Strategy,1140690.71,2025-08-26,North,Net 45,11,5,92
PO-10078,"Pratt, Perez and Baker",Cloud,Azure,1815704.77,2023-02-22,International,Advance,56,8,74
PO-10079,"Taylor, Fox and Manning",Consultancy,IT Strategy,1963276.16,2025-05-02,East,Net 45,27,8,72
PO-10080,Baxter Group,Cloud,Azure,1109170.52,2025-08-17,East,On Delivery,20,8,88
PO-10081,"Crawford, Harrison and Montgomery",Cloud,Private Cloud,628561.98,2025-09-07,East,Advance,9,5,68
